epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.34808,1.41657,3.93906,1.80913,0.00369,1,0.04881,0.02215,0.50504,3.69739,0.8238,0.00022725,0.00022725,0.00022725
2,9.71389,1.26441,3.72376,1.57019,0.00369,1,0.04881,0.02215,0.50504,3.69739,0.8238,0.000519751,0.000519751,0.000519751
3,13.5281,1.12731,3.64407,1.52062,0.00369,1,0.04881,0.02215,0.50504,3.69739,0.8238,0.000800253,0.000800253,0.000800253
4,17.1269,1.47659,3.85083,2.01384,0.00448,1,0.13084,0.0775,0.60826,3.73945,0.91043,0.000855005,0.000855005,0.000855005
5,21.0949,0.70694,3.46029,1.23162,0.00448,1,0.13084,0.0775,0.60826,3.73945,0.91043,0.000837007,0.000837007,0.000837007
6,24.795,0.73453,3.4374,1.20089,0.00448,1,0.13084,0.0775,0.60826,3.73945,0.91043,0.000819009,0.000819009,0.000819009
7,28.3476,0.80685,3.52808,1.3424,0.00448,1,0.13084,0.0775,0.60826,3.73945,0.91043,0.000801011,0.000801011,0.000801011
8,31.9502,0.7334,3.46378,1.25682,0.0048,1,0.15898,0.09702,0.36395,3.64838,0.68255,0.000783013,0.000783013,0.000783013
9,35.9141,0.63334,3.43718,1.21249,0.0048,1,0.15898,0.09702,0.36395,3.64838,0.68255,0.000765014,0.000765014,0.000765014
10,41.5951,0.52626,3.37182,1.13565,0.0048,1,0.15898,0.09702,0.36395,3.64838,0.68255,0.000747016,0.000747016,0.000747016
11,45.3876,0.84468,3.53058,1.39871,0.0048,1,0.15898,0.09702,0.36395,3.64838,0.68255,0.000729018,0.000729018,0.000729018
12,52.3717,0.49417,3.41357,1.1119,0.00351,1,0.2893,0.20081,0.68955,3.68016,1.20919,0.00071102,0.00071102,0.00071102
13,56.5498,0.37883,3.24963,1.08653,0.00351,1,0.2893,0.20081,0.68955,3.68016,1.20919,0.000693022,0.000693022,0.000693022
14,59.8852,0.39718,3.30761,1.06268,0.00351,1,0.2893,0.20081,0.68955,3.68016,1.20919,0.000675023,0.000675023,0.000675023
15,63.1959,0.38878,3.24526,1.03852,0.00351,1,0.2893,0.20081,0.68955,3.68016,1.20919,0.000657025,0.000657025,0.000657025
16,66.6914,0.29442,3.18711,1.01209,0.0035,1,0.26672,0.20781,0.68885,3.65537,1.18148,0.000639027,0.000639027,0.000639027
17,70.076,0.30089,3.1921,0.99836,0.0035,1,0.26672,0.20781,0.68885,3.65537,1.18148,0.000621029,0.000621029,0.000621029
18,73.3944,0.2803,3.1862,0.96835,0.0035,1,0.26672,0.20781,0.68885,3.65537,1.18148,0.000603031,0.000603031,0.000603031
19,78.0996,0.29932,3.13863,0.95648,0.00343,1,0.35678,0.23228,0.42698,3.58753,0.85047,0.000585032,0.000585032,0.000585032
20,81.425,0.29989,3.16338,1.0093,0.00343,1,0.35678,0.23228,0.42698,3.58753,0.85047,0.000567034,0.000567034,0.000567034
21,84.5811,0.30285,3.16553,1.01916,0.00343,1,0.35678,0.23228,0.42698,3.58753,0.85047,0.000549036,0.000549036,0.000549036
22,87.8641,0.29775,3.10354,0.98318,0.00343,1,0.35678,0.23228,0.42698,3.58753,0.85047,0.000531038,0.000531038,0.000531038
23,91.3259,0.30453,3.08606,0.99045,0.00342,1,0.37286,0.27731,0.27675,3.45603,0.71817,0.00051304,0.00051304,0.00051304
24,94.6649,0.35611,3.12126,1.10031,0.00342,1,0.37286,0.27731,0.27675,3.45603,0.71817,0.000495041,0.000495041,0.000495041
25,97.9879,0.23049,2.97637,0.98136,0.00342,1,0.37286,0.27731,0.27675,3.45603,0.71817,0.000477043,0.000477043,0.000477043
26,101.391,0.29548,3.06558,0.96729,0.00342,1,0.37286,0.27731,0.27675,3.45603,0.71817,0.000459045,0.000459045,0.000459045
27,104.831,0.33042,3.02231,0.98096,0.00346,1,0.49753,0.4053,0.30028,3.35027,0.67799,0.000441047,0.000441047,0.000441047
28,108.099,0.2942,2.95263,0.90593,0.00346,1,0.49753,0.4053,0.30028,3.35027,0.67799,0.000423049,0.000423049,0.000423049
29,111.629,0.24801,2.88797,0.96842,0.00346,1,0.49753,0.4053,0.30028,3.35027,0.67799,0.00040505,0.00040505,0.00040505
30,115.364,0.25026,2.98488,0.97118,0.00346,1,0.49753,0.4053,0.30028,3.35027,0.67799,0.000387052,0.000387052,0.000387052
31,118.994,0.26786,2.91569,0.92732,0.00348,1,0.43445,0.38168,0.27619,3.24712,0.68448,0.000369054,0.000369054,0.000369054
32,122.766,0.21662,2.81804,0.95984,0.00348,1,0.43445,0.38168,0.27619,3.24712,0.68448,0.000351056,0.000351056,0.000351056
33,126.186,0.20226,2.93771,0.88064,0.00348,1,0.43445,0.38168,0.27619,3.24712,0.68448,0.000333058,0.000333058,0.000333058
34,130.049,0.25917,2.88122,0.93933,0.96764,0.14286,0.51485,0.44409,0.26562,3.08223,0.6681,0.000315059,0.000315059,0.000315059
35,133.825,0.19332,2.73841,0.88538,0.96764,0.14286,0.51485,0.44409,0.26562,3.08223,0.6681,0.000297061,0.000297061,0.000297061
36,137.511,0.21319,2.76495,0.9507,0.96764,0.14286,0.51485,0.44409,0.26562,3.08223,0.6681,0.000279063,0.000279063,0.000279063
37,141.42,0.27429,2.76364,1.00264,0.96764,0.14286,0.51485,0.44409,0.26562,3.08223,0.6681,0.000261065,0.000261065,0.000261065
38,145.601,0.25163,2.84078,0.95442,0.95623,0.14286,0.63297,0.57463,0.25453,2.96667,0.6389,0.000243067,0.000243067,0.000243067
39,149.202,0.28982,2.93612,0.95331,0.95623,0.14286,0.63297,0.57463,0.25453,2.96667,0.6389,0.000225068,0.000225068,0.000225068
40,153.174,0.17947,2.77672,0.95373,0.95623,0.14286,0.63297,0.57463,0.25453,2.96667,0.6389,0.00020707,0.00020707,0.00020707
41,156.866,0.54572,3.63865,1.33218,0.95623,0.14286,0.63297,0.57463,0.25453,2.96667,0.6389,0.000189072,0.000189072,0.000189072
42,160.564,0.42242,3.70215,1.14525,0.78055,0.22238,0.65147,0.59669,0.23775,2.83914,0.60648,0.000171074,0.000171074,0.000171074
43,164.058,0.62512,3.58335,1.53938,0.78055,0.22238,0.65147,0.59669,0.23775,2.83914,0.60648,0.000153076,0.000153076,0.000153076
44,167.601,0.78748,3.65724,1.72654,0.78055,0.22238,0.65147,0.59669,0.23775,2.83914,0.60648,0.000135077,0.000135077,0.000135077
45,171.056,0.30278,3.36759,0.98203,0.78055,0.22238,0.65147,0.59669,0.23775,2.83914,0.60648,0.000117079,0.000117079,0.000117079
46,174.366,0.59177,3.5608,1.26567,0.785,0.28571,0.60371,0.56581,0.21745,2.69573,0.56955,9.9081e-05,9.9081e-05,9.9081e-05
47,177.817,0.31351,3.22425,1.05105,0.785,0.28571,0.60371,0.56581,0.21745,2.69573,0.56955,8.10828e-05,8.10828e-05,8.10828e-05
48,181.169,0.3385,3.40842,1.06146,0.785,0.28571,0.60371,0.56581,0.21745,2.69573,0.56955,6.30846e-05,6.30846e-05,6.30846e-05
49,185.206,0.26732,3.39088,1.01396,0.5438,0.5668,0.56647,0.53804,0.21453,2.62092,0.56702,4.50864e-05,4.50864e-05,4.50864e-05
50,188.499,0.46368,3.5497,1.33643,0.5438,0.5668,0.56647,0.53804,0.21453,2.62092,0.56702,2.70882e-05,2.70882e-05,2.70882e-05
